A. Lite American Lager,1.028-40,0.998-1.008,2.8-4.2,8-12,2-3
B. Standard American Lager,1.040-50,1.004-10,4.2-5.3,8-15,2-4
C. Premium American Lager,1.046-56,1.008-12,4.6-6.0,15-25,2-6
D. Munich Helles,1.045-51,1.008-12,4.7-5.4,16-22,3-5
E. Dortmunder Export,1.048-56,1.010-15,4.8-6.0,23-30,4-6
A. German Pilsner (Pils),1.044-50,1.008-13,4.4-5.2,25-45,2-5
B. Bohemian Pilsener,1.044-56,1.013-17,4.2-5.4,35-45,3.5-6
C. Classic American Pilsner,1.044-60,1.010-15,4.5-6.0,25-40,3-6
A. Vienna Lager,1.046-52,1.010-14,4.5-5.5,18-30,10-16
B. Oktoberfest/Märzen,1.050-57,1.012-16,4.8-5.7,20-28,7-14
A. Dark American Lager,1.044-56,1.008-12,4.2-6.0,8-20,14-22
B. Munich Dunkel,1.048-56,1.010-16,4.5-5.6,18-28,14-28
C. Schwarzbier,1.046-52,1.010-16,4.4-5.4,22-32,17-30
A. Maibock/Helles Bock,1.064-72,1.011-18,6.3-7.4,23-35,6-11
B. Traditional Bock,1.064-72,1.013-19,6.3-7.2,20-27,14-22
C. Doppelbock,1.072-112,1.016-24,7.0-10.0,16-26,6-25
D. Eisbock,1.078-120,1.020-35,9.0-14.0,25-35,18-30
A. Cream Ale,1.042-55,1.006-12,4.2-5.6,15-20,2.5-5
B. Blonde Ale,1.038-54,1.008-13,3.8-5.5,15-28,3-6
C. Kölsch,1.044-50,1.007-11,4.4-5.2,20-30,3.5-5
D. American Wheat or Rye Beer,1.040-55,1.008-13,4.0-5.5,15-30,3-6
A. North German Altbier,1.046-54,1.010-15,4.5-5.2,25-40,13-19
B. California Common Beer,1.048-54,1.011-14,4.5-5.5,30-45,10-14
C. Düsseldorf Altbier,1.046-54,1.010-15,4.5-5.2,35-50,11-17
A. Standard/Ordinary Bitter,1.032-40,1.007-11,3.2-3.8,25-35,4-14
B. Special Bitter,1.040-48,1.008-12,3.8-4.6,25-40,5-16
C. Extra Special Bitter,1.048-60,1.010-16,4.6-6.2,30-50,6-18
A. Scottish Light,1.030-35,1.010-13,2.5-3.2,10-20,9-17
B. Scottish Heavy,1.035-40,1.010-15,3.2-3.9,10-25,9-17
C. Scottish Export,1.040-54,1.010-16,3.9-5.0,15-30,9-17
D. Irish Red Ale,1.044-60,1.010-14,4.0-6.0,17-28,9-18
E. Strong Scotch Ale,1.070-130,1.018-56,6.5-10.0,17-35,14-25
A. American Pale Ale,1.045-60,1.010-15,4.5-6.0,30-45,5-14
B. American Amber Ale,1.045-60,1.010-15,4.5-6.0,25-40,10-17
C. American Brown Ale,1.045-60,1.010-16,4.3-6.2,20-40,18-35
A. Mild English Brown Ale,1.030-38,1.008-13,2.8-4.5,10-25,12-25
B. Southern English Brown Ale,1.033-42,1.011-14,2.8-4.1,12-20,19-35
C. Northern English Brown Ale,1.040-52,1.008-13,4.2-5.4,20-30,12-22
A. Brown Porter,1.040-52,1.008-14,4.0-5.4,18-35,20-30
B. Robust Porter,1.048-65,1.012-16,4.8-6.5,25-50,22-35
C. Baltic Porter,1.060-90,1.016-24,5.5-9.5,20-40,17-30
A. Dry Stout,1.036-50,1.007-11,4.0-5.0,30-45,25-40
B. Sweet Stout,1.044-60,1.012-24,4.0-6.0,20-40,30-40
C. Oatmeal Stout,1.048-65,1.010-18,4.2-5.9,25-40,22-40
D. Foreign Extra Stout,1.056-75,1.010-18,5.5-8.0,30-70,30-40
E. American Stout,1.050-75,1.010-22,5.0-7.0,35-75,30-40
F. Imperial Stout,1.075-115,1.018-30,8.0-12.0,50-90,30-40
A. English IPA,1.050-75,1.010-18,5.0-7.5,40-60,8-14
B. American IPA,1.056-75,1.010-18,5.5-7.5,40-70,6-15
C. Imperial IPA,1.075-90,1.010-20,7.5-10.0,60-120,8-15
A. Weizen/Weissbier,1.044-52,1.010-14,4.3-5.6,8-15,2-8
B. Dunkelweizen,1.044-56,1.010-14,4.3-5.6,10-18,14-23
C. Weizenbock,1.064-90,1.015-22,6.5-8.0,15-30,12-25
D. Roggenbier,1.046-56,1.010-14,4.5-6.0,10-20,14-19
A. Witbier,1.044-52,1.008-12,4.5-5.5,10-20,2-4
B. Belgian Pale Ale,1.048-54,1.010-14,4.8-5.5,20-30,8-14
C. Saison,1.048-65,1.002-12,5.0-7.0,20-35,5-14
D. Bière de Garde,1.060-80,1.008-16,6.0-8.5,18-28,6-19
E. Belgian Specialty Ale,Variable,Variable,Variable,Variable,Variable
A. Berliner Weisse,1.028-32,1.003-06,2.8-3.8,3-8,2-3
B. Flanders Red Ale,1.048-57,1.002-12,4.6-6.5,10-25,10-16
C. Flanders Brown Ale/Oud Bruin,1.040-74,1.008-12,4.0-8.0,20-25,15-22
D. Straight Lambic,1.040-54,1.001-10,5.0-6.5,0-10,3-7
E. Gueuze,1.040-60,1.000-06,5.0-8.0,0-10,3-7
F. Fruit Lambic,1.040-60,1.000-10,5.0-7.0,0-10,3-7
A. Belgian Blond Ale,1.062-75,1.008-18,6.0-7.5,15-30,4-7
B. Belgian Dubbel,1.062-75,1.008-18,6.0-7.6,15-25,10-17
C. Belgian Tripel,1.075-85,1.008-14,7.5-9.5,20-40,4.5-7
D. Belgian Golden Strong Ale,1.070-95,1.005-16,7.5-10.5,22-35,3-6
E. Belgian Dark Strong Ale,1.075-110,1.010-24,8.0-11.0,20-35,12-22
A. Old Ale,1.060-90,1.015-22,6.0-9.0,30-60,10-22
B. English Barleywine,1.080-120,1.018-30,8.0-12.0,35-70,8-22
C. American Barleywine,1.080-120,1.016-30,8.0-12.0,50-120,10-19
"A. Spice, Herb, or Vegetable Beer",Varies,with,base,beer,style
B. Christmas/Winter Specialty Spiced Beer,Varies,with,base,beer,style
A. Classic Rauchbier,1.050-57,1.012-16,4.8-6.0,20-30,12-22
B. Smoked Beer,Varies,with,base,beer,style
C. Wood-Aged Beer,Varies,with,base,beer,style
A. Dry Mead,Varies,0.990-1.010,Varies,N/A,N/A
B. Semi-Sweet Mead,Varies,1.010-25,Varies,N/A,N/A
C. Sweet Mead,Varies,1.025-50,Varies,N/A,N/A
A. Cyser (Apple Melomel),Variable,See,Guidelines,N/A,N/A
B. Pyment (Grape Melomel),Variable,See,Guidelines,N/A,N/A
C. Other Fruit Melomel,Variable,See,Guidelines,N/A,N/A
A. Metheglin,Variable,See,Guidelines,N/A,N/A
B. Braggot,Variable,See,Guidelines,N/A,N/A
C. Open Category Mead,Variable,See,Guidelines,N/A,N/A
A. Common Cider,1.045-65,1.000-20,5-8,N/A,N/A
B. English Cider,1.050-75,0.995-1.010,6-9,N/A,N/A
C. French Cider,1.050-65,1.010-20,3-6,N/A,N/A
D. Common Perry,1.050-60,1.000-20,5-7,N/A,N/A
E. Traditional Perry,1.050-70,1.000-20,5-9,N/A,N/A
A. New England Cider,1.060-100,0.995-1.010,7-13,N/A,N/A
B. Fruit Cider,1.045-70,0.995-1.010,5-9,N/A,N/A
C. Apple Wine,1.070-100,0.995-1.010,9-12,N/A,N/A
D. Other Specialty Cider or Perry,1.045-100,0.995-1.020,5-12,N/A,N/A
